concept_1,concept_2,colexification_count
A LITTLE,FEW,1
A LITTLE,SMALL,1
A LITTLE,SOME,2
A LITTLE,WHAT,1
ABOVE,ASK (INQUIRE),1
ABOVE,AT,1
ABOVE,BELOW OR UNDER,1
ABOVE,BLACK,4
ABOVE,CART,1
ABOVE,CHIEFTAIN,1
ABOVE,CIRCLE,1
ABOVE,CLOUD,2
ABOVE,COUNTRY,1
ABOVE,DEER,1
ABOVE,DIG,2
ABOVE,FISH,1
ABOVE,FLESH,1
ABOVE,HEAVEN,2
ABOVE,HIGH,8
ABOVE,HILL,1
ABOVE,IN FRONT OF,1
ABOVE,INSIDE,1
ABOVE,LAUGH,1
ABOVE,LINE,1
ABOVE,MEAT,1
ABOVE,MONTH,1
ABOVE,MOON,1
ABOVE,NORTH,1
ABOVE,PEAK,12
ABOVE,POINT (WITH FINGER),1
ABOVE,RIDE,1
ABOVE,ROLL,1
ABOVE,ROOF,1
ABOVE,SCRAPE,1
ABOVE,SHALLOW,1
ABOVE,SKY,30
ABOVE,SPIN,1
ABOVE,TALL,1
ABOVE,THROUGH,2
ABOVE,TOP,5
ABOVE,TWIST,1
ABOVE,UP,17
ABOVE,UP OR ABOVE,5
ABOVE,YESTERDAY,1
ABSTAIN FROM FOOD,ALTAR,1
ABSTAIN FROM FOOD,BE SILENT,1
ABSTAIN FROM FOOD,FAST,2
ABSTAIN FROM FOOD,HOLD,1
ABSTAIN FROM FOOD,KEEP,1
ABSTAIN FROM FOOD,ONLY,1
ABSTAIN FROM FOOD,PUT,1
ABSTAIN FROM FOOD,REGRET,1
ABSTAIN FROM FOOD,ROAST OR FRY,1
ABSTAIN FROM FOOD,RUN,1
ABSTAIN FROM FOOD,SECRET,1
ABSTAIN FROM FOOD,SHUT,3
ABSTAIN FROM FOOD,SPIN,1
ABSTAIN FROM FOOD,STEAL,1
ABSTAIN FROM FOOD,TIE,1
ABSTAIN FROM FOOD,WHIRLPOOL,1
ABUSE,ACCUSTOM,1
ABUSE,ANSWER,1
ABUSE,ARRIVE,3
ABUSE,ASK (REQUEST),1
ABUSE,BAIT,1
ABUSE,BASKET,1
ABUSE,BATHE,1
ABUSE,BECOME EXTINGUISHED,1
ABUSE,BECOME SOUR,1
ABUSE,BEND (SOMETHING),1
ABUSE,BEWITCH,1
ABUSE,BITE,5
ABUSE,BOAST,1
ABUSE,BREAK (CLEAVE),1
ABUSE,BURNING,1
ABUSE,BURY,2
ABUSE,BUY,1
ABUSE,CARRY,3
ABUSE,CARRY ON HEAD,1
ABUSE,CARRY PERSON ON BACK,2
ABUSE,CEASE,2
ABUSE,CHANGE,2
ABUSE,CHECK,1
ABUSE,CHIEFTAIN,1
ABUSE,CHOOSE,1
ABUSE,CLOSE (EYES),1
ABUSE,COME BACK,2
ABUSE,COOK (SOMETHING),2
ABUSE,COUGH,1
ABUSE,COVER,1
ABUSE,CRAWL,2
ABUSE,CRUSH,1
ABUSE,CULTIVATE,1
ABUSE,CUT,2
ABUSE,DANCE,1
ABUSE,DENY,1
ABUSE,DESTROY,2
ABUSE,DIE,2
ABUSE,DIG,2
ABUSE,DIMINISH,2
ABUSE,DIVIDE,2
ABUSE,DIVORCE,1
ABUSE,DO,2
ABUSE,DONATE,2
ABUSE,DRAG,1
ABUSE,DRAW (WATER),2
ABUSE,DRAW MILK,2
ABUSE,DREAM,1
ABUSE,DRINK,1
ABUSE,DRY UP,3
ABUSE,"DWELL (LIVE, RESIDE)",1
ABUSE,EAR,1
ABUSE,EAT,1
ABUSE,EMBRACE,1
ABUSE,ENTER,1
ABUSE,EXTINGUISH,1
ABUSE,FAN (OBJECT),2
ABUSE,FART,1
ABUSE,FASTEN,1
ABUSE,FAT (OBESE),2
ABUSE,FEAR (BE AFRAID),1
ABUSE,FIGHT,1
ABUSE,FILL,1
ABUSE,FOLLOW,1
ABUSE,FOREST,1
ABUSE,FORGE,2
ABUSE,FULL,1
ABUSE,GATHER,2
ABUSE,GET,2
ABUSE,GET LOST,1
ABUSE,GET WET,1
ABUSE,GIVE,1
ABUSE,GO UP (ASCEND),1
ABUSE,GRIND,1
ABUSE,GROAN,1
ABUSE,HEAD,1
ABUSE,HEAR,2
ABUSE,HIDE (CONCEAL),1
ABUSE,HOLD,1
ABUSE,HUNT,1
ABUSE,IMITATE,2
ABUSE,INCREASE,1
ABUSE,ITCH,1
ABUSE,JOIN,1
ABUSE,JUMP,1
ABUSE,KILL,1
ABUSE,KNEAD,1
ABUSE,KNEEL,2
ABUSE,KNOCK,1
ABUSE,LAME,1
ABUSE,LAUGH,1
ABUSE,LEAVE,2
ABUSE,LEFT,1
ABUSE,LIE (REST),1
ABUSE,LIE DOWN,1
ABUSE,LOBSTER,1
ABUSE,LOOK,1
ABUSE,LOOK FOR,1
ABUSE,MAKE DRY,1
ABUSE,MEET,1
ABUSE,MELT,1
ABUSE,MIX,1
ABUSE,MOVE AWAY,1
ABUSE,OPEN,1
ABUSE,PAY,1
ABUSE,PILE UP,1
ABUSE,PINCH,2
ABUSE,PISS,2
ABUSE,PLAIT OR BRAID OR WEAVE,1
ABUSE,POUND,2
ABUSE,POUR,2
ABUSE,PREPARE,1
ABUSE,PULL,2
ABUSE,PULL UP (RICE SEEDLINGS),1
ABUSE,PUSH,2
ABUSE,PUT ON,2
ABUSE,QUARREL,1
ABUSE,QUIET,1
ABUSE,RAINING OR RAIN,1
ABUSE,REFUSE,1
ABUSE,REMEMBER,1
ABUSE,REPAIR,1
ABUSE,RESEMBLE,2
ABUSE,RIPEN,2
ABUSE,ROAST (SOMETHING),2
ABUSE,ROTTEN,1
ABUSE,RUB,1
ABUSE,SACRIFICE,2
ABUSE,SAY,2
ABUSE,SCATTER (SEEDS),2
ABUSE,SCRAPE,1
ABUSE,SCRATCH,1
ABUSE,SEE,1
ABUSE,SEIZE,2
ABUSE,SELL,1
ABUSE,SEND,2
ABUSE,SEPARATE,1
ABUSE,SET (HEAVENLY BODIES),1
ABUSE,SEW,3
ABUSE,SHARPEN (SOMETHING),2
ABUSE,SHAVE,1
ABUSE,SHIT (DEFECATE),1
ABUSE,SHIVER,2
ABUSE,SHOULDER,1
ABUSE,SHOUT,1
ABUSE,SING,1
ABUSE,SIT,2
ABUSE,SLAUGHTER,1
ABUSE,SLEEP,1
ABUSE,SMELL (PERCEIVE),1
ABUSE,SNEEZE,1
ABUSE,SNORE,1
ABUSE,SPARK,1
ABUSE,SPEAK,2
ABUSE,SPINE,1
ABUSE,SPIT,1
ABUSE,SPLIT,1
ABUSE,SPREAD OUT,2
ABUSE,SQUEEZE,2
ABUSE,STEAL,2
ABUSE,STINKING,1
ABUSE,STIR,1
ABUSE,STRAIN,1
ABUSE,STRETCH,1
ABUSE,STUTTER,1
ABUSE,SUCK,2
ABUSE,SUIT,1
ABUSE,SURPASS,1
ABUSE,SWALLOW,1
ABUSE,SWEAR,1
ABUSE,SWEEP,2
ABUSE,SWELL,1
ABUSE,TASTE (SOMETHING),1
ABUSE,TEACH,1
ABUSE,THINK,1
ABUSE,THREATEN,1
ABUSE,TRAVERSE,2
ABUSE,TRY,2
ABUSE,TUMBLE (FALL DOWN),2
ABUSE,TURN,1
ABUSE,TURN (SOMETHING),1
ABUSE,TWIST,1
ABUSE,VOMIT,1
ABUSE,WALK,2
ABUSE,WANT,2
ABUSE,WASH,2
ABUSE,WE,1
ABUSE,WEAR,1
ABUSE,WEAVE,2
ABUSE,WINNOWING,1
ABUSE,WIPE,1
ACCOMPANY,BLOW (OF WIND),1
ACCOMPANY,COOK (SOMETHING),1
ACCOMPANY,FAT (OBESE),2
ACCOMPANY,FAT (OF MEAT AND FOOD),1
ACCOMPANY,FAT (OILY),1
ACCOMPANY,GO,1
ACCOMPANY,HELP,1
ACCOMPANY,NEAR,1
ACCOMPANY,PUT,1
ACCOMPANY,REST,1
ACCOMPANY,SKIN (OF FRUIT),1
ACCOMPANY,WATER,1
ACCUSE,ADJUDICATE,1
ACCUSE,ADMIT,1
ACCUSE,ANIMAL,1
ACCUSE,ANNOUNCE,2
ACCUSE,ATTACK,1
ACCUSE,BAMBOO,1
ACCUSE,BLAME,65
ACCUSE,CARRY,1
ACCUSE,CHEST,2
ACCUSE,CONDEMN,32
ACCUSE,CONVICT,17
ACCUSE,COUNT,2
ACCUSE,DARK,1
ACCUSE,ENOUGH,1
ACCUSE,EXPLAIN,2
ACCUSE,FIGHT,1
ACCUSE,FORBID,1
ACCUSE,FOWL,1
ACCUSE,GUILTY,1
ACCUSE,HATE,1
ACCUSE,KISS,2
ACCUSE,LONTAR PALM,1
ACCUSE,MAGIC,1
ACCUSE,NAME,1
ACCUSE,POT,1
ACCUSE,PREACH,1
ACCUSE,PREVENT,1
ACCUSE,PRIEST,1
ACCUSE,PUT,1
ACCUSE,REMEMBER,1
ACCUSE,RULE,1
ACCUSE,SAW,1
ACCUSE,SAY,2
ACCUSE,SCOLD,1
ACCUSE,SEE,1
ACCUSE,SEND,1
ACCUSE,SHAME,1
ACCUSE,SHOOT,1
ACCUSE,SPEECH,1
ACCUSE,SUSPECT,3
ACCUSE,TELL,2
ACCUSE,TIE,2
ACCUSE,UNDERSTAND,1
ACCUSTOM,ANSWER,1
ACCUSTOM,ARRIVE,1
ACCUSTOM,ASK (REQUEST),1
ACCUSTOM,BATHE,1
ACCUSTOM,BECOME SOUR,1
ACCUSTOM,BEWITCH,1
ACCUSTOM,BITE,1
ACCUSTOM,BOAST,1
ACCUSTOM,BREAK (CLEAVE),1
ACCUSTOM,BURNING,1
ACCUSTOM,BURY,1
ACCUSTOM,CARRY,1
ACCUSTOM,CARRY PERSON ON BACK,1
ACCUSTOM,CEASE,1
ACCUSTOM,CHANGE,1
ACCUSTOM,CHECK,1
ACCUSTOM,CHOOSE,1
ACCUSTOM,CLOSE (EYES),1
ACCUSTOM,COME BACK,1
ACCUSTOM,COOK (SOMETHING),1
ACCUSTOM,COVER,1
ACCUSTOM,CRAWL,1
ACCUSTOM,CULTIVATE,1
ACCUSTOM,CUT,1
ACCUSTOM,DENY,1
ACCUSTOM,DIE,1
ACCUSTOM,DIG,1
ACCUSTOM,DIMINISH,1
ACCUSTOM,DISAPPEAR,2
ACCUSTOM,DIVIDE,1
ACCUSTOM,DIVORCE,1
ACCUSTOM,DO,1
ACCUSTOM,DONATE,1
ACCUSTOM,DRAG,1
ACCUSTOM,DRAW MILK,1
ACCUSTOM,DREAM,1
ACCUSTOM,DRY UP,1
ACCUSTOM,"DWELL (LIVE, RESIDE)",1
ACCUSTOM,EAT,1
ACCUSTOM,EMBRACE,1
